Time [s];Schweissstrom [A];Schweissspannung [V];Drahtvorschub [m/min];Gasfluss [l/min];Motorstrom [A]
8,5455;52,00;19,05;0,00;0,00;0,00
8,5758;55,00;19,05;0,00;0,00;0,00
8,6061;54,00;19,05;0,00;0,00;0,00
8,6364;53,00;19,05;0,00;0,00;0,00
8,6667;54,00;19,05;0,00;0,00;0,00
8,6970;52,00;19,05;0,00;0,00;0,00
8,7273;54,00;19,05;0,00;0,00;0,00
8,7576;54,00;19,05;0,00;0,00;0,00
8,7879;52,00;19,05;0,00;0,00;0,00
8,8182;52,00;19,05;0,00;0,00;0,00
8,8485;52,00;19,05;0,00;0,00;0,00
8,8788;53,00;18,90;0,00;0,00;0,00
8,9091;52,00;19,05;0,00;0,00;0,00
8,9394;54,00;19,20;0,00;0,00;0,00
8,9697;53,00;19,20;0,00;0,00;0,00
9,0000;52,00;19,05;0,00;0,00;0,00
9,0303;53,00;19,05;0,00;0,00;0,00
9,0606;51,00;19,05;0,00;0,00;0,00
9,0909;52,00;19,05;0,00;0,00;0,00
9,1212;53,00;19,05;0,00;0,00;0,00
9,1515;53,00;19,05;0,00;0,00;0,00
9,1818;53,00;19,05;0,00;0,00;0,00
9,2121;53,00;19,05;0,00;0,00;0,00
9,2424;54,00;19,05;0,00;0,00;0,00
9,2727;53,00;19,05;0,00;0,00;0,00
9,3030;54,00;19,05;0,00;0,00;0,00
9,3333;54,00;19,05;0,00;0,00;0,00
9,3636;54,00;19,05;0,00;0,00;0,00
9,3939;55,00;19,20;0,00;0,00;0,00
9,4242;54,00;19,05;0,00;0,00;0,00
9,4545;55,00;19,05;0,00;0,00;0,00
9,4848;52,00;19,05;0,00;0,00;0,00
9,5152;53,00;19,05;0,00;0,00;0,00
9,5455;55,00;19,05;0,00;0,00;0,00
9,5758;55,00;19,05;0,00;0,00;0,00
9,6061;53,00;19,05;0,00;0,00;0,00
9,6364;54,00;19,05;0,00;0,00;0,00
9,6667;56,00;19,20;0,00;0,00;0,00
9,6970;54,00;19,05;0,00;0,00;0,00
9,7273;54,00;19,05;0,00;0,00;0,00
9,7576;52,00;19,05;0,00;0,00;0,00
9,7879;53,00;18,90;0,00;0,00;0,00
9,8182;53,00;19,05;0,00;0,00;0,00
9,8485;52,00;19,05;0,00;0,00;0,00
9,8788;53,00;19,05;0,00;0,00;0,00
9,9091;54,00;19,05;0,00;0,00;0,00
9,9394;53,00;19,05;0,00;0,00;0,00
9,9697;54,00;19,05;0,00;0,00;0,00
10,0000;53,00;19,20;0,00;0,00;0,00
10,0303;53,00;19,05;0,00;0,00;0,00
10,0606;55,00;19,05;0,00;0,00;0,00
10,0909;52,00;19,05;0,00;0,00;0,00
10,1212;53,00;19,05;0,00;0,00;0,00
10,1515;53,00;19,05;0,00;0,00;0,00
10,1818;53,00;19,05;0,00;0,00;0,00
10,2121;51,00;19,05;0,00;0,00;0,00
10,2424;54,00;18,90;0,00;0,00;0,00
10,2727;53,00;19,05;0,00;0,00;0,00
10,3030;53,00;19,05;0,00;0,00;0,00
10,3333;53,00;19,05;0,00;0,00;0,00
10,3636;54,00;19,05;0,00;0,00;0,00
10,3939;53,00;19,05;0,00;0,00;0,00
10,4242;53,00;19,05;0,00;0,00;0,00
10,4545;55,00;19,05;0,00;0,00;0,00
10,4848;54,00;19,05;0,00;0,00;0,00
10,5152;55,00;19,20;0,00;0,00;0,00
10,5455;54,00;19,05;0,00;0,00;0,00
10,5758;52,00;19,05;0,00;0,00;0,00
10,6061;54,00;19,05;0,00;0,00;0,00
10,6364;55,00;19,20;0,00;0,00;0,00
10,6667;53,00;18,90;0,00;0,00;0,00
10,6970;53,00;19,05;0,00;0,00;0,00
10,7273;54,00;19,05;0,00;0,00;0,00
10,7576;52,00;19,05;0,00;0,00;0,00
10,7879;54,00;19,05;0,00;0,00;0,00
10,8182;53,00;19,05;0,00;0,00;0,00
10,8485;53,00;19,05;0,00;0,00;0,00
